material_id,vendor_id,name,category,description,price_per_unit_egp,unit,min_order_quantity,stock_available,image_url,created_at
MAT0000,VEND009,Raw Clay,Natural Materials,Ago suggest natural door action blue seem. Step eight interview crime.,340.86,liter,7,408,https://cdn.talentree.eg/materials/mat_0.jpg,2023-09-09 00:00:00
MAT0001,VEND004,Pottery Clay,Beads & Accessories,Itself member if crime price clear western. Stop language produce agent play. Range vote my price build artist buy.,300.53,kg,10,446,https://cdn.talentree.eg/materials/mat_1.jpg,2025-04-26 00:00:00
MAT0002,VEND001,Natural Wax,Natural Materials,"Instead former use low way serve always. Program new edge world.
Laugh them key price follow. Rock arrive true player popular.",291.19,roll,4,256,https://cdn.talentree.eg/materials/mat_2.jpg,2023-10-17 00:00:00
MAT0003,VEND000,Shea Butter,Oils & Herbs,Through phone clear top air spring drug. Husband interest research son final himself move. Career lawyer one discussion reveal.,103.76,piece,2,304,https://cdn.talentree.eg/materials/mat_3.jpg,2025-01-01 00:00:00
MAT0004,VEND002,Raw Silver,Oils & Herbs,In create establish arrive. Reality card hear ready eight.,95.77,liter,2,141,https://cdn.talentree.eg/materials/mat_4.jpg,2024-11-21 00:00:00
MAT0005,VEND009,Raw Silver,Metals,"Base black fund threat. Fall nothing long eye she.
Never responsibility conference personal feel down body happen. Perhaps but travel event.",160.06,roll,6,479,https://cdn.talentree.eg/materials/mat_5.jpg,2024-05-28 00:00:00
MAT0006,VEND009,Shea Butter,Wood & Clay,Detail everyone third concern reach doctor fund. Spend newspaper employee science young agent me.,213.15,liter,8,28,https://cdn.talentree.eg/materials/mat_6.jpg,2024-12-24 00:00:00
MAT0007,VEND009,Egyptian Cotton Fabric,Natural Materials,"Road course indeed ability.
Cost work close. Must smile while memory dinner card understand art.",213.35,kg,10,928,https://cdn.talentree.eg/materials/mat_7.jpg,2024-04-05 00:00:00
MAT0008,VEND008,Raw Clay,Oils & Herbs,Study carry hot politics development. College relationship mouth institution responsibility government happy.,258.54,kg,10,556,https://cdn.talentree.eg/materials/mat_8.jpg,2024-12-31 00:00:00
MAT0009,VEND005,Essential Oils,Fabrics,"Trade hotel trade force bank commercial arm. Fact hope professional here stuff experience billion.
Take generation fall maybe.",378.89,liter,3,412,https://cdn.talentree.eg/materials/mat_9.jpg,2025-04-17 00:00:00
MAT0010,VEND004,Egyptian Cotton Fabric,Wood & Clay,Information soldier suffer anything process. Significant system system open play compare. None set yeah foreign class.,404.7,gram,8,859,https://cdn.talentree.eg/materials/mat_10.jpg,2023-07-26 00:00:00
MAT0011,VEND002,Genuine Leather,Fabrics,That heart easy claim expect audience capital its. Against arrive government against.,138.74,roll,2,341,https://cdn.talentree.eg/materials/mat_11.jpg,2025-01-29 00:00:00
MAT0012,VEND008,Wool Yarn,Natural Materials,"Reality American bill west at. Source south answer early.
Mean health example more. Economic present ten approach Congress.",148.84,liter,6,885,https://cdn.talentree.eg/materials/mat_12.jpg,2023-08-02 00:00:00
MAT0013,VEND006,Wool Yarn,Metals,Off he dog any peace. Court economic present these. Half seat attorney wind mind. Section agreement age heavy admit catch.,294.39,gram,1,718,https://cdn.talentree.eg/materials/mat_13.jpg,2023-12-27 00:00:00
MAT0014,VEND000,Palm Leaves,Leather & Textiles,Form management act attorney onto seven. Reach share by range heart voice security pattern. Interest century politics gas and.,283.21,liter,3,228,https://cdn.talentree.eg/materials/mat_14.jpg,2025-04-22 00:00:00
MAT0015,VEND001,Glass Beads,Beads & Accessories,"Onto camera rate because those glass food.
Generation positive response represent project cut by. Senior majority tonight full bed great appear.",315.98,roll,1,824,https://cdn.talentree.eg/materials/mat_15.jpg,2024-10-09 00:00:00
MAT0016,VEND000,Beech Wood,Fabrics,Finish receive bring trade despite only. Worker cost end he avoid chance. Parent attack campaign we political involve.,38.24,kg,10,901,https://cdn.talentree.eg/materials/mat_16.jpg,2023-10-02 00:00:00
MAT0017,VEND003,Palm Leaves,Fabrics,Congress girl nor bad. Card above building lot if. Book hospital win.,127.37,meter,8,25,https://cdn.talentree.eg/materials/mat_17.jpg,2025-09-30 00:00:00
MAT0018,VEND004,Palm Leaves,Wood & Clay,Minute song ability fear across window along talk. Light adult sell final.,198.4,meter,5,414,https://cdn.talentree.eg/materials/mat_18.jpg,2024-10-08 00:00:00
