request_id,brand_id,material_id,vendor_id,quantity,total_price_egp,status,request_date,delivery_date,notes
REQ00000,BRAND0009,MAT0022,VEND007,27,6498.9,completed,2025-08-14 00:00:00,2025-08-21 00:00:00,
REQ00001,BRAND0061,MAT0023,VEND002,37,6912.71,processing,2026-01-11 00:00:00,,
REQ00002,BRAND0073,MAT0026,VEND005,15,6817.65,completed,2025-08-09 00:00:00,2025-08-20 00:00:00,
REQ00003,BRAND0000,MAT0026,VEND005,6,2727.06,completed,2025-12-29 00:00:00,2026-01-05 00:00:00,
REQ00004,BRAND0081,MAT0018,VEND004,7,1388.8,completed,2025-09-04 00:00:00,2025-09-11 00:00:00,
REQ00005,BRAND0065,MAT0031,VEND001,15,4865.1,completed,2025-12-17 00:00:00,2025-12-28 00:00:00,Itself wife expert above doctor play.
REQ00006,BRAND0086,MAT0013,VEND006,6,1766.34,completed,2025-03-31 00:00:00,2025-04-10 00:00:00,
REQ00007,BRAND0093,MAT0046,VEND009,80,5860.0,processing,2025-11-26 00:00:00,,Church will box television within.
REQ00008,BRAND0009,MAT0034,VEND000,28,762.72,completed,2025-08-06 00:00:00,2025-08-10 00:00:00,Determine difference coach whom seat.
REQ00009,BRAND0022,MAT0032,VEND001,85,30235.35,completed,2025-12-30 00:00:00,2026-01-10 00:00:00,
REQ00010,BRAND0010,MAT0047,VEND005,7,280.56,pending,2024-11-21 00:00:00,,
REQ00011,BRAND0040,MAT0029,VEND003,14,4615.52,completed,2026-01-12 00:00:00,2026-01-18 00:00:00,
REQ00012,BRAND0089,MAT0027,VEND003,33,313.83,completed,2025-08-14 00:00:00,2025-08-20 00:00:00,
REQ00013,BRAND0000,MAT0024,VEND007,4,845.44,pending,2025-10-19 00:00:00,,Letter program hand threat.
REQ00014,BRAND0011,MAT0021,VEND003,16,1202.08,processing,2025-11-08 00:00:00,,Wish mind well laugh cost.
REQ00015,BRAND0074,MAT0020,VEND009,9,2977.11,completed,2025-08-03 00:00:00,2025-08-06 00:00:00,
REQ00016,BRAND0078,MAT0027,VEND003,30,285.3,completed,2025-12-05 00:00:00,2025-12-19 00:00:00,
REQ00017,BRAND0037,MAT0002,VEND001,12,3494.28,completed,2024-12-10 00:00:00,2024-12-14 00:00:00,Her southern tax serious tree.
REQ00018,BRAND0039,MAT0035,VEND006,29,13556.05,completed,2025-03-16 00:00:00,2025-03-24 00:00:00,
REQ00019,BRAND0012,MAT0036,VEND000,14,6305.6,completed,2024-09-03 00:00:00,2024-09-07 00:00:00,
REQ00020,BRAND0051,MAT0016,VEND000,39,1491.36,pending,2025-09-02 00:00:00,,His ground strategy card book budget key.
REQ00021,BRAND0072,MAT0023,VEND002,12,2241.96,completed,2026-01-10 00:00:00,2026-01-24 00:00:00,
REQ00022,BRAND0075,MAT0038,VEND001,1,382.86,completed,2024-07-14 00:00:00,2024-07-19 00:00:00,
REQ00023,BRAND0028,MAT0047,VEND005,12,480.96,completed,2024-04-24 00:00:00,2024-05-02 00:00:00,
REQ00024,BRAND0069,MAT0029,VEND003,41,13516.88,completed,2026-01-02 00:00:00,2026-01-14 00:00:00,
REQ00025,BRAND0029,MAT0014,VEND000,24,6797.04,processing,2025-11-29 00:00:00,,
REQ00026,BRAND0090,MAT0037,VEND003,5,1539.45,completed,2026-01-21 00:00:00,2026-01-27 00:00:00,
REQ00027,BRAND0058,MAT0001,VEND004,55,16529.15,completed,2025-06-02 00:00:00,2025-06-16 00:00:00,
REQ00028,BRAND0001,MAT0019,VEND004,28,3396.12,completed,2026-01-15 00:00:00,2026-01-28 00:00:00,
REQ00029,BRAND0078,MAT0009,VEND005,11,4167.79,processing,2025-12-29 00:00:00,,
REQ00030,BRAND0009,MAT0019,VEND004,11,1334.19,completed,2025-08-10 00:00:00,2025-08-19 00:00:00,Program word across who choose watch.
REQ00031,BRAND0066,MAT0003,VEND000,17,1763.92,completed,2025-05-18 00:00:00,2025-05-24 00:00:00,No mother threat.
REQ00032,BRAND0040,MAT0016,VEND000,76,2906.24,completed,2025-12-09 00:00:00,2025-12-23 00:00:00,
REQ00033,BRAND0077,MAT0002,VEND001,11,3203.09,pending,2025-09-30 00:00:00,,Eye camera course up only.
REQ00034,BRAND0080,MAT0024,VEND007,7,1479.52,completed,2024-11-09 00:00:00,2024-11-23 00:00:00,
REQ00035,BRAND0083,MAT0008,VEND008,68,17580.72,completed,2025-10-21 00:00:00,2025-10-31 00:00:00,Operation pretty usually fish however character human.
REQ00036,BRAND0019,MAT0024,VEND007,11,2324.96,processing,2025-12-10 00:00:00,,
REQ00037,BRAND0001,MAT0033,VEND009,20,9556.4,completed,2025-09-11 00:00:00,2025-09-23 00:00:00,
REQ00038,BRAND0028,MAT0008,VEND008,12,3102.48,completed,2025-04-06 00:00:00,2025-04-16 00:00:00,
