snapshot_id,date,total_orders,total_revenue_egp,new_customers,new_brands,active_customers,avg_order_value_egp
SNAP20250801,2025-08-01,2,6308.81,1,0,248,3154.4
SNAP20250802,2025-08-02,3,6293.88,2,0,61,2097.96
SNAP20250803,2025-08-03,3,13712.05,0,0,51,4570.68
SNAP20250804,2025-08-04,0,0.0,0,0,233,0.0
SNAP20250805,2025-08-05,3,5413.82,0,0,204,1804.61
SNAP20250806,2025-08-06,4,12932.22,4,0,97,3233.06
SNAP20250807,2025-08-07,2,4761.2,1,0,117,2380.6
SNAP20250808,2025-08-08,0,0.0,0,0,119,0.0
SNAP20250809,2025-08-09,3,10580.29,0,0,202,3526.76
SNAP20250810,2025-08-10,1,3420.88,3,0,230,3420.88
SNAP20250811,2025-08-11,7,17716.44,3,0,213,2530.92
SNAP20250812,2025-08-12,2,16754.31,1,0,96,8377.16
SNAP20250813,2025-08-13,1,1217.59,0,0,183,1217.59
SNAP20250814,2025-08-14,0,0.0,1,0,292,0.0
SNAP20250815,2025-08-15,2,7246.24,0,0,164,3623.12
SNAP20250816,2025-08-16,3,5212.34,0,0,193,1737.45
SNAP20250817,2025-08-17,1,1789.21,0,0,263,1789.21
SNAP20250818,2025-08-18,5,14177.1,3,0,277,2835.42
SNAP20250819,2025-08-19,2,6550.58,1,0,175,3275.29
SNAP20250820,2025-08-20,2,5346.0,0,0,139,2673.0
SNAP20250821,2025-08-21,4,5473.93,1,0,213,1368.48
SNAP20250822,2025-08-22,3,4476.86,0,0,168,1492.29
SNAP20250823,2025-08-23,2,5404.44,3,0,62,2702.22
SNAP20250824,2025-08-24,4,9734.12,0,0,210,2433.53
SNAP20250825,2025-08-25,3,3014.03,0,0,109,1004.68
SNAP20250826,2025-08-26,1,8096.1,1,0,214,8096.1
SNAP20250827,2025-08-27,3,7939.79,0,1,54,2646.6
SNAP20250828,2025-08-28,6,15145.64,0,0,248,2524.27
SNAP20250829,2025-08-29,3,9223.34,2,0,86,3074.45
SNAP20250830,2025-08-30,2,2043.17,1,0,200,1021.58
SNAP20250831,2025-08-31,2,694.1,0,0,100,347.05
SNAP20250901,2025-09-01,1,959.32,4,1,54,959.32
SNAP20250902,2025-09-02,6,10437.17,0,0,81,1739.53
SNAP20250903,2025-09-03,6,25610.09,0,0,76,4268.35
SNAP20250904,2025-09-04,5,14469.44,2,0,237,2893.89
SNAP20250905,2025-09-05,5,24037.75,1,0,274,4807.55
SNAP20250906,2025-09-06,1,3238.44,3,0,88,3238.44
SNAP20250907,2025-09-07,3,25030.94,2,0,137,8343.65
SNAP20250908,2025-09-08,4,11592.42,2,0,212,2898.1
SNAP20250909,2025-09-09,4,8289.43,1,0,53,2072.36
SNAP20250910,2025-09-10,6,9254.94,0,0,66,1542.49
SNAP20250911,2025-09-11,1,5268.2,0,0,214,5268.2
SNAP20250912,2025-09-12,4,9611.92,1,1,179,2402.98
SNAP20250913,2025-09-13,1,1592.26,0,0,150,1592.26
SNAP20250914,2025-09-14,3,5722.09,1,0,263,1907.36
SNAP20250915,2025-09-15,3,8334.33,1,0,210,2778.11
SNAP20250916,2025-09-16,6,14420.79,1,0,59,2403.46
SNAP20250917,2025-09-17,5,13260.34,1,0,176,2652.07
SNAP20250918,2025-09-18,1,574.88,0,0,120,574.88
SNAP20250919,2025-09-19,5,11031.14,1,1,93,2206.23
SNAP20250920,2025-09-20,4,5551.05,1,0,196,1387.76
SNAP20250921,2025-09-21,8,30963.65,0,0,243,3870.46
SNAP20250922,2025-09-22,6,8996.51,0,0,298,1499.42
SNAP20250923,2025-09-23,0,0.0,2,0,55,0.0
SNAP20250924,2025-09-24,9,20075.53,2,0,152,2230.61
SNAP20250925,2025-09-25,5,18085.94,0,0,219,3617.19
SNAP20250926,2025-09-26,7,16958.86,2,0,214,2422.69
SNAP20250927,2025-09-27,4,20654.59,1,0,203,5163.65
SNAP20250928,2025-09-28,5,25857.76,0,0,138,5171.55
SNAP20250929,2025-09-29,8,22130.0,1,0,88,2766.25
