brand_id,owner_user_id,business_name,category,bio,logo_url,cover_image_url,social_facebook,social_instagram,created_at,verified,profile_complete,total_sales_egp,total_orders,avg_rating,rating_count
BRAND0000,USER00001,Style Studio,Fashion & Accessories,"Page bit anyone watch sometimes while sense. Sit participant teach big.
Medical cold brother. Treat church factor kid media. Child hair standard but.",https://cdn.talentree.eg/brands/logo_0.jpg,https://cdn.talentree.eg/brands/cover_0.jpg,fb.com/stylestudio,@style_studio,2025-10-16 00:00:00,True,True,44574.9,422,5.0,142
BRAND0001,USER00002,Style Craft,Fashion & Accessories,"Send morning skin case. Including important learn system some gun.
Certainly act south want be fire.",https://cdn.talentree.eg/brands/logo_1.jpg,https://cdn.talentree.eg/brands/cover_1.jpg,fb.com/stylecraft,@style_craft,2025-08-27 00:00:00,True,True,17418.41,206,4.3,22
BRAND0002,USER00003,Art Craft Studio,Handmade & Crafts,"Account evidence month turn record land. Thought person peace kind generation. Simple thing base Mr hope rest.
Yeah exist behavior necessary miss serious civil. Three music else.",https://cdn.talentree.eg/brands/logo_2.jpg,https://cdn.talentree.eg/brands/cover_2.jpg,fb.com/artcraftstudio,@art_craft_studio,2024-08-13 00:00:00,True,False,48049.98,318,4.7,175
BRAND0003,USER00004,Elegance Co,Fashion & Accessories,Law work south. Not thus physical mouth other go expect size. Public research mind easy foreign old state.,https://cdn.talentree.eg/brands/logo_3.jpg,https://cdn.talentree.eg/brands/cover_3.jpg,fb.com/eleganceco,@elegance_co,2024-12-10 00:00:00,True,True,28858.48,223,4.9,154
BRAND0004,USER00005,Hands On Studio,Handmade & Crafts,Machine leader whose message. Brother defense list second want hard weight. System book hard face mission brother figure hear.,https://cdn.talentree.eg/brands/logo_4.jpg,https://cdn.talentree.eg/brands/cover_4.jpg,fb.com/handsonstudio,@hands_on_studio,2025-07-03 00:00:00,False,False,7022.72,339,3.3,138
BRAND0005,USER00006,Craft & Create,Handmade & Crafts,"Loss finally laugh full help strong.
Seven measure leave last. Chance road become person perhaps hold too. Must when three save position tend. Occur someone religious.",https://cdn.talentree.eg/brands/logo_5.jpg,https://cdn.talentree.eg/brands/cover_5.jpg,fb.com/craft&create,@craft_&_create,2024-03-22 00:00:00,True,True,15795.42,366,4.8,34
BRAND0006,USER00007,Trend Setter,Fashion & Accessories,Be move fly open man value. Join increase teacher fish either boy. My experience consumer shoulder. Fill imagine college pass.,https://cdn.talentree.eg/brands/logo_6.jpg,https://cdn.talentree.eg/brands/cover_6.jpg,fb.com/trendsetter,@trend_setter,2025-11-17 00:00:00,True,False,45897.05,167,3.1,136
BRAND0007,USER00008,Beauty Bloom,Natural & Beauty,"Imagine do though. Never only big several prepare. Fight image base player.
Health world site Mr. Which new among spend which per.
Art two event. Style herself goal place one.",https://cdn.talentree.eg/brands/logo_7.jpg,https://cdn.talentree.eg/brands/cover_7.jpg,fb.com/beautybloom,@beauty_bloom,2025-10-17 00:00:00,True,True,16221.08,455,3.3,7
BRAND0008,USER00009,Pure Beauty Co,Natural & Beauty,"Event production focus decision where foreign trial. Position ability live top.
New recent major hotel ball theory. Much throughout staff knowledge.
Will heavy over hit stuff speech. By have cover.",https://cdn.talentree.eg/brands/logo_8.jpg,https://cdn.talentree.eg/brands/cover_8.jpg,fb.com/purebeautyco,@pure_beauty_co,2024-08-04 00:00:00,True,True,48079.21,160,3.9,163
BRAND0009,USER00010,Beauty Bloom,Natural & Beauty,Field response doctor management guy exactly toward religious. According worker point book everyone. Management necessary process not radio north assume. Second camera value talk.,https://cdn.talentree.eg/brands/logo_9.jpg,https://cdn.talentree.eg/brands/cover_9.jpg,fb.com/beautybloom,@beauty_bloom,2025-07-28 00:00:00,True,True,39065.84,59,3.3,6
BRAND0010,USER00011,Pure Beauty Co,Natural & Beauty,"Business million many military analysis. Another truth mother first hot. Bank occur agent scene within interest.
Culture forget as personal agreement. Space or phone free economy blue.",https://cdn.talentree.eg/brands/logo_10.jpg,https://cdn.talentree.eg/brands/cover_10.jpg,fb.com/purebeautyco,@pure_beauty_co,2024-02-18 00:00:00,False,False,13709.7,295,4.2,152
BRAND0011,USER00012,Organic Glow,Natural & Beauty,Site artist sort area. Phone assume quality nice far high benefit sell. Ten skin perhaps law less.,https://cdn.talentree.eg/brands/logo_11.jpg,https://cdn.talentree.eg/brands/cover_11.jpg,fb.com/organicglow,@organic_glow,2025-06-25 00:00:00,True,True,18283.44,357,4.6,34
BRAND0012,USER00013,Handmade Haven,Handmade & Crafts,Those simply challenge final garden hard account only. Arm medical strong teach.,https://cdn.talentree.eg/brands/logo_12.jpg,https://cdn.talentree.eg/brands/cover_12.jpg,fb.com/handmadehaven,@handmade_haven,2024-01-04 00:00:00,False,True,35744.95,196,3.4,99
BRAND0013,USER00014,Elite Fashion,Fashion & Accessories,"Lose shoulder spring southern heavy. Contain wrong guy available air boy.
Create one she analysis ahead cup. Despite energy company suggest.
Cultural compare energy big. Her skin book very.",https://cdn.talentree.eg/brands/logo_13.jpg,https://cdn.talentree.eg/brands/cover_13.jpg,fb.com/elitefashion,@elite_fashion,2024-06-05 00:00:00,False,True,8607.43,120,3.1,195
BRAND0014,USER00015,Pure Glow,Natural & Beauty,Reason fish involve player TV several. Country movement smile foreign apply somebody their surface. Though decide bank likely professional ask meet seem.,https://cdn.talentree.eg/brands/logo_14.jpg,https://cdn.talentree.eg/brands/cover_14.jpg,fb.com/pureglow,@pure_glow,2024-02-29 00:00:00,True,True,11516.43,348,5.0,193
BRAND0015,USER00016,Modern Muse,Fashion & Accessories,Care base know goal. American mention from later it happen marriage event. Conference doctor population.,https://cdn.talentree.eg/brands/logo_15.jpg,https://cdn.talentree.eg/brands/cover_15.jpg,fb.com/modernmuse,@modern_muse,2025-07-16 00:00:00,True,True,46391.61,229,4.7,125
BRAND0016,USER00017,Handmade Hub,Handmade & Crafts,"Your your sell science treatment across federal state. Watch state serious activity pressure writer.
Dinner rich decide do only need. Reveal left social fine could show recently.",https://cdn.talentree.eg/brands/logo_16.jpg,https://cdn.talentree.eg/brands/cover_16.jpg,fb.com/handmadehub,@handmade_hub,2025-03-24 00:00:00,True,True,44435.55,223,3.8,10
BRAND0017,USER00018,Artisan Alley,Handmade & Crafts,International sell several real federal only. Size two child well form picture owner.,https://cdn.talentree.eg/brands/logo_17.jpg,https://cdn.talentree.eg/brands/cover_17.jpg,fb.com/artisanalley,@artisan_alley,2024-01-08 00:00:00,True,True,20010.46,485,4.5,152
BRAND0018,USER00019,Style Lab,Fashion & Accessories,Writer can industry sea. Western tend candidate day it report. City offer financial data respond learn cut.,https://cdn.talentree.eg/brands/logo_18.jpg,https://cdn.talentree.eg/brands/cover_18.jpg,fb.com/stylelab,@style_lab,2024-10-12 00:00:00,False,True,26272.13,236,3.9,10
