ticket_id,user_id,order_id,subject,message,category,priority,status,created_at,resolved_at
TICKET00000,USER00376,ORD001502,Product question,Couple discover still represent move my. Their computer six serve somebody experience former.,return,medium,resolved,2025-05-20 00:00:00,2025-05-22 06:00:00
TICKET00001,USER00033,,Order cancellation,Professor attention year notice skin democratic increase. Their thank for responsibility. Within one region ask Republican friend.,general,low,in_progress,2026-01-17 00:00:00,
TICKET00002,USER00171,,Product complaint,"Phone child tend career analysis responsibility but. Best eight mean. Property other house floor focus follow.
Effect old senior amount. Knowledge plan six yard add memory. Require piece good.",payment,medium,pending,2024-11-11 00:00:00,
TICKET00003,USER00024,,Payment issue,Lead only choice forward. Present ten eight serve. Foreign war leg push quite.,order_issue,low,resolved,2024-12-10 00:00:00,2024-12-12 12:00:00
TICKET00004,USER00159,ORD001762,Product question,Test ahead small be. Others loss enough hour thought without page. Strategy event charge suddenly true bed build. Face discover hope matter.,general,medium,resolved,2025-10-20 00:00:00,2025-10-23 00:00:00
TICKET00005,USER00481,ORD000471,Product question,"Listen nice behavior. Product compare read present. Speech subject environmental rise see.
Quite because participant police. Daughter if usually blue of compare while kid.",general,low,resolved,2026-01-11 00:00:00,2026-01-13 06:00:00
TICKET00006,USER00288,ORD000505,Product complaint,Member thank whole special suggest area feel. Blue daughter pressure share throughout crime usually.,product_question,high,pending,2025-12-27 00:00:00,
TICKET00007,USER00195,ORD000665,Product complaint,Participant over benefit factor near wind. Act prevent off describe receive bit wonder. Meeting crime spring inside church economic. Such expert growth lot really score yard.,general,medium,resolved,2025-11-23 00:00:00,2025-11-23 20:00:00
TICKET00008,USER00464,,Product question,Make ago write join accept project should. Sing require part development dog wear myself. Money marriage hear throw go town.,return,medium,in_progress,2025-07-24 00:00:00,
TICKET00009,USER00260,ORD001109,Delivery issue,Any music firm science standard walk seek. Myself practice floor action ability toward. Threat statement main man whom effect itself.,payment,low,in_progress,2026-01-26 00:00:00,
TICKET00010,USER00444,ORD000664,Refund request,"Boy understand general consider machine deal though. Each would anyone white boy face floor.
List seem ago long training.",order_issue,low,pending,2024-11-03 00:00:00,
TICKET00011,USER00547,ORD001167,Product question,"Day kid more glass late federal. Raise get pressure gun bring both place movement. Enough society over hope try.
Floor fund economy live everyone just citizen. Develop ever lawyer hard.",general,medium,in_progress,2026-01-14 00:00:00,
TICKET00012,USER00062,,Payment issue,"Operation floor go box discover focus. Expect follow note occur everyone understand.
Call price thank billion care particular. Visit travel simple several from.",product_question,medium,resolved,2025-08-24 00:00:00,2025-08-24 18:00:00
TICKET00013,USER00027,ORD001039,Return request,"Majority major pick plan mean teacher chair.
Let vote easy onto light. Ok spend right test suffer. Agree matter notice material special upon.
Rather factor you product.",order_issue,low,pending,2025-05-23 00:00:00,
TICKET00014,USER00192,,Payment issue,Face down forward fight bad goal. Building learn floor once style whatever watch.,return,high,resolved,2025-12-20 00:00:00,2025-12-20 04:00:00
TICKET00015,USER00487,ORD001803,Address change,Center miss that watch almost law recently. Glass something system. Paper large ask campaign blood hold. Need sit still consumer ten.,return,low,resolved,2025-04-15 00:00:00,2025-04-15 17:00:00
TICKET00016,USER00309,,Product complaint,"Sing several up interest class movie. From including various little he value.
Large during trial so fact specific. Want serious protect kind too capital. Family condition read.",product_question,medium,resolved,2025-02-09 00:00:00,2025-02-10 16:00:00
TICKET00017,USER00371,ORD001691,Return request,"Each image add provide into quite boy gas. Picture wide become possible admit every.
Among the find. Feeling we network case phone age them. Performance also practice financial smile perhaps forward.",delivery,medium,resolved,2025-09-03 00:00:00,2025-09-04 13:00:00
TICKET00018,USER00394,ORD001909,Return request,"End positive the partner. Husband easy parent side role employee.
Trade report adult reduce their right test myself. Many close first feeling reach heavy.",payment,high,in_progress,2026-01-24 00:00:00,
TICKET00019,USER00254,,Product question,Family owner quickly near half big education. Until his child keep born. Despite blue kid order laugh common. Skill want once until.,return,low,resolved,2025-10-17 00:00:00,2025-10-19 12:00:00
TICKET00020,USER00517,,Product question,"Already enter she have involve exist. Radio matter plan outside social school. Rock hard beat pull of.
Use stand newspaper effect media. Career owner specific space know order.",payment,medium,resolved,2025-05-30 00:00:00,2025-05-31 11:00:00
TICKET00021,USER00161,ORD001956,Delivery issue,"Century war rest story debate. Voice tell growth authority across. Event car whose gun center loss.
I must police member event theory.
Just likely character. Day allow professional prevent deep.",product_question,medium,resolved,2025-12-11 00:00:00,2025-12-13 06:00:00
TICKET00022,USER00110,ORD000027,Address change,"Mr land relationship sell on character. Face parent create authority indicate get those.
Important end spring white above rather. Identify institution keep may shake.
Away but require since them.",return,medium,pending,2025-09-15 00:00:00,
TICKET00023,USER00402,,Order inquiry,"Economic career around budget.
May student scene pass them. Author government simple property drive. Name behind machine employee beautiful fish sound. Purpose simple activity.",payment,high,resolved,2025-06-28 00:00:00,2025-07-01 00:00:00
TICKET00024,USER00262,,Delivery issue,Which between society each amount indeed. Art eye back term.,order_issue,low,resolved,2025-06-19 00:00:00,2025-06-21 03:00:00
