review_id,order_id,product_id,customer_user_id,brand_id,rating,review_text,language,created_at,helpful_count,verified_purchase
REV00000,ORD000197,PROD00071,USER00149,BRAND0015,5,Great product! Highly recommend. Quality is excellent!,english,2026-02-02 23:19:00,15,True
REV00001,ORD001071,PROD00440,USER00468,BRAND0033,1,Expected better quality for this price.,english,2025-10-31 23:47:00,27,True
REV00002,ORD000899,PROD00091,USER00462,BRAND0002,5,Love it! Exactly as described. Very happy with my purchase.,english,2026-01-09 10:02:00,8,True
REV00003,ORD000082,PROD00218,USER00264,BRAND0064,5,Great product! Highly recommend. Quality is excellent!,english,2025-12-28 22:49:00,40,True
REV00004,ORD000841,PROD00438,USER00573,BRAND0048,4,Great product! Highly recommend. Quality is excellent!,english,2025-10-29 08:30:00,34,True
REV00005,ORD001127,PROD00447,USER00332,BRAND0098,4,Great product! Highly recommend. Quality is excellent!,english,2025-11-28 23:35:00,13,True
REV00006,ORD000795,PROD00001,USER00235,BRAND0079,4,Perfect! Better than expected. Worth every penny.,english,2026-01-12 09:30:00,10,True
REV00007,ORD001800,PROD00453,USER00367,BRAND0063,2,Poor quality. Not worth the price.,english,2025-11-13 20:15:00,1,True
REV00008,ORD000510,PROD00026,USER00521,BRAND0027,2,Poor quality. Not worth the price.,english,2025-11-27 21:40:00,38,True
REV00009,ORD001404,PROD00139,USER00495,BRAND0044,3,Good but expected better. Average quality.,english,2025-08-10 20:00:00,12,True
REV00010,ORD001951,PROD00266,USER00223,BRAND0081,5,Excellent product and great customer service!,english,2026-02-03 22:53:00,23,True
REV00011,ORD000948,PROD00176,USER00599,BRAND0050,4,Perfect! Better than expected. Worth every penny.,english,2026-01-18 20:26:00,14,True
REV00012,ORD001425,PROD00484,USER00415,BRAND0099,5,Perfect! Better than expected. Worth every penny.,english,2025-11-13 23:21:00,11,True
REV00013,ORD000988,PROD00448,USER00105,BRAND0025,5,Great product! Highly recommend. Quality is excellent!,english,2025-11-30 08:49:00,39,True
