product_id,brand_id,name,category,description,price_egp,stock_quantity,sku,images,created_at,updated_at,status,views,clicks,favorites,sales_count
PROD00000,BRAND0083,Body Butter,Natural & Beauty,"Decide best politics available tonight man each. Garden ready former late election.
Along cause miss ago they nor research fill. Nothing fight require pull.
Chair factor his PM. Surface on chance.",1473.86,67,SKU46624,"[""img0.jpg"", ""img1.jpg"", ""img2.jpg"", ""img3.jpg""]",2025-10-25 00:00:00,2025-11-10 00:00:00,approved,4297,916,45,62
PROD00001,BRAND0079,Embroidered Pillow,Handmade & Crafts,"Popular onto may model her unit. That lot low here.
Different deal change part rock build. Ground least tree trade style.",1496.29,85,SKU20234,"[""img0.jpg"", ""img1.jpg"", ""img2.jpg"", ""img3.jpg"", ""img4.jpg""]",2026-01-08 00:00:00,2026-02-02 00:00:00,approved,2569,632,27,87
PROD00002,BRAND0048,Ceramic Plate,Handmade & Crafts,"American participant necessary before. Safe true town car few. Dinner one ok less Mr.
So authority long kind live between.",71.03,58,SKU77195,"[""img0.jpg"", ""img1.jpg"", ""img2.jpg"", ""img3.jpg""]",2026-01-02 00:00:00,2026-01-20 00:00:00,pending,2725,436,180,75
PROD00003,BRAND0098,Vintage Earrings,Fashion & Accessories,Born series consider according throw meeting. Clear assume it fight understand kitchen point. State cover board discussion film figure short. Bill feel participant number choice choose short.,118.89,76,SKU49855,"[""img0.jpg"", ""img1.jpg"", ""img2.jpg"", ""img3.jpg"", ""img4.jpg""]",2025-01-30 00:00:00,2025-02-07 00:00:00,approved,3886,597,86,146
PROD00004,BRAND0094,Silver Hoop Earrings,Fashion & Accessories,Stop firm final none several accept. Area impact position cause lead ever. Decade respond far health focus.,1981.21,94,SKU91830,"[""img0.jpg""]",2025-11-08 00:00:00,2025-11-17 00:00:00,approved,685,134,258,19
PROD00005,BRAND0058,Boho Bag,Fashion & Accessories,Heart big policy everybody hard type book care. Foot simple including charge. Operation off no just. Of several end most fact against.,308.45,35,SKU46073,"[""img0.jpg"", ""img1.jpg"", ""img2.jpg""]",2025-06-19 00:00:00,2025-06-19 00:00:00,pending,923,623,89,151
PROD00006,BRAND0078,Leather Wallet,Fashion & Accessories,"Budget improve how main.
Art writer health not yet where their.
Man offer plant same north wind sister. Citizen message surface off life practice course. Short issue everybody later.",771.05,22,SKU44242,"[""img0.jpg"", ""img1.jpg""]",2026-01-15 00:00:00,2026-01-30 00:00:00,approved,4330,887,16,87
PROD00007,BRAND0080,Body Butter,Natural & Beauty,Character talk once should mother president. Show off great they test. Country challenge final beyond.,1211.31,19,SKU75004,"[""img0.jpg"", ""img1.jpg"", ""img2.jpg"", ""img3.jpg""]",2025-01-04 00:00:00,2025-01-28 00:00:00,approved,1959,681,225,185
PROD00008,BRAND0092,Pottery Bowl,Handmade & Crafts,"Any just cup side opportunity by. Medical official might clear.
Wait scientist group yet. Course world son growth effort born.",1176.63,44,SKU17120,"[""img0.jpg"", ""img1.jpg"", ""img2.jpg""]",2025-11-05 00:00:00,2025-11-29 00:00:00,approved,440,176,237,102
PROD00009,BRAND0017,Embroidered Pillow,Handmade & Crafts,"Role today animal suggest concern.
Million cell like although.
Term produce he increase church. Company million character speak. Half understand skill air. Fill personal training enter fly.",978.72,96,SKU79798,"[""img0.jpg"", ""img1.jpg""]",2024-11-11 00:00:00,2024-11-23 00:00:00,pending,3205,490,134,37
